评论,点赞数,用户名,评论时间和ip地址
3天前·浙江,1,老苏,3天前·浙江
@￥￥￥七彩纺羊绒王阔￥￥,0,七彩纺羊绒－@小崔总,3天前·浙江
直接说个价钱让我死心吧,0,*番茄炒西红柿,3天前·河南
价格和特斯拉有一拼了,0,大象爸爸,3天前·河南
如果是油车，估计不用做广告都卖的可火,1,木子二车,3天前·河南
羊绒座椅？夏天不开空调屁股疯狂补水,1,茧.工作室,3天前·河南
配件可不便宜,0,雨过天晴！,3天前·河南
@仰泳的鲸鱼 @purple,0,爱烦烦吖,3天前·河南
@52Hz,1,脉动的日常,3天前·河南
越来越高级的车,1,救恩永久,3天前·河北
沃尔沃汽车高端大气，酷酷酷太牛了,1,淘淘奶奶,3天前·河北
应该挺贵吧！,1,安氏小公主,3天前·河北
我靠，无论大小说车网红，都再说沃尔沃，这是花了多少广告费啊,0,茕茕孑立,3天前·河北
宝妈一枚，不想用对健康有威胁的隔音材质,2,年年有今朝1/5/0,3天前·江西
安全细分领域上，沃尔沃为整个行业和普罗大众贡献了,1,那年的咖啡,3天前·江西
安全才是最大的豪华，汽车界能真正意义以“安全”立身的，只有沃尔沃，没有其他！,0,思绪，情绪,3天前·江西
XC40用户报道，下一辆窝窝就你了！,0,小叮咚,3天前·江西
V90车主表示，心动得很！,0,傲雪凌霜,3天前·江西
说的我好像不会眨眼似的,1,虔城阿三勾,3天前·江西
大品牌值得信赖,0,亦周,3天前·江西
猴哥40个预算可以拿X5吗？,1,江西宜春二手车批发,3天前·江西
有一天你会一个粉丝没有,1,独忆,3天前·江苏
能不能回徐州做一期美食，学学丸子妹,0,w,3天前·江苏
啥车在你旁边都感觉小,1,好运2023,3天前·江苏
说一期徐州烧烤！！！作为徐州人,1,孔令怀,3天前·江苏
什么价位,2,Joe Hon,3天前·江苏
小腾为啥每次跑前面,1,时间,3天前·江苏
沃尔沃ex90高端大气，配置高，空间大，性能好，值得信赖,2,五木,3天前·江苏
确实不错大气好看上档次,2,飞鹰亮亮,3天前·江苏
估计要7-8W,0,ZIZUODUOQING,3天前·柬埔寨
买不起，为啥推荐呢,2,宁静,3天前·新疆
这会眨眼加了直接多出20W,0,一定是特别的猿粪,3天前·广西
喜欢，买不起系列,2,?黄小西?,3天前·广西
价格高是沃的爱好！还有一爱好就是优惠距大,1,对就是它了,3天前·广西
猴哥帮我看下这台车下地多少钱,2,卓先生,3天前·广东
哥斯拉无视延迟,0,白马顺风车,3天前·广东
车挺炫,1,大河向前奔,3天前·广东
这里什么话题都有，乐趣多多！,1,宇宙的种子,3天前·广东
3天前·广东,0,happy天晴,3天前·广东
一切都很满意，但，只差钱,1,brucechen,3天前·广东
就为了买这个灯么,1,张永清｜德美密胺（芯片餐具）,3天前·广东
说吧 多少钱,0,77…,3天前·广东
这车超35万卖不了几台,0,姜太公,3天前·广东
有30以上预算买车不如合伙订购私人飞机/因飞机平民化离现实不远了,1,玥儿,3天前·广东
沃尔沃就是屏幕不行,0,大哥大姐,3天前·广东
EX90，我的下一辆车,1,幸福人,3天前·山西
5个毫米波雷达、8个摄像头、12个超声波雷达和一个激光雷达，够壕够下本,0,Lonely_heart?,3天前·山西
2030年成为纯电豪华车企，意味着所有车型全部电动化，这可是走在所有传统车企前列了,1,梦幻西游,3天前·山西
2015年T8车型就已经主动电气化了哦,1,过火,3天前·山西
3天前·山西,0,海亮电瓶销售点,3天前·山西
红旗H9最帅车灯，没有之一。,1,DNF——狼王,3天前·山东
本来挺感兴趣的，一听沃尔沃，算了睡吧,2,老村的幸福生活,3天前·山东
沃尔沃是要把所有抖音说车的骗子都买一遍吗,0,曾经绿花之树,3天前·山东
你是不是感觉我能买得起？,1,华大大,3天前·山东
你到底来不来淄博吃烧烤，我一直在等你,2,秀客私人订制美发会所,3天前·山东
羊绒的，哈哈哈,1,晚香玉,3天前·山东
估计得六十以上,1,蓝魂幽梦,3天前·山东
多少钱,2,王尚飞,3天前·山东
为啥看着这么显小呢,0,济南智诚电脑,3天前·山东
电车我只选比亚迪……其他都是小弟弟,1,酒品-金顺达回收站,3天前·山东
@志翔优选二手车,1,周可儿萌萌哒,3天前·山东
句句不提续航,1,紫罗：DCW,3天前·安徽
得多少钱啊？可得好好几万块钱？,2,老五,3天前·安徽
@星如漾,0,你吃不吃糖,3天前·安徽
纸老虎,0,鸬鹚,3天前·天津
厉害了,0,途虎养车环溪二路店,3天前·四川
等猴哥说仰望u8,1,九月.有点黑,3天前·四川
3天前·吉林,0,高化君,3天前·吉林
比亚迪电车就是好,1,风过叶起叶落,3天前·北京
已经好多大主播充值了,1,鱼竹992,3天前·北京
这个确实,1,隔壁大哥,3天前·北京
3天前·北京,0,用户1377188006893,3天前·北京
@这道题我不会做！ @那你报警吧 @执着的自恋狂 @豪弟儿,0,玩儿,3天前·北京
EX90可能会刷新国人对沃尔沃成熟内敛的认知了，看看这电车本身的卓越动力性能，再加上这配备的成熟智能驾驶,0,咖喱嘛啾啾,3天前·内蒙古
高端大气上档次！,1,宁静致远,3天前·云南
又被充值了,1,暖阳°C,3天前·云南
这外观是实习生设计的吗,1,清风图文广告,3天前·云南
沃尔沃漂亮,2,强强,3天前·上海
猴哥能帮我弄一辆两三万自动挡的日系二手车吗！,4,逝去的青春,3天前·上海
以点赞，望白送,3,记得关注,3天前·上海
拍摄现场看见你了,0,遇见花卉,3天前·上海
这车抖音车评人都在广而告之。,1,重庆开州,3天前·IP未知
@Miss Cher,0,瞎溜达,2小时前·重庆
杠精真多,0,大悟无言,2小时前·山东
这个车好，大家都知道了,0,卡哇伊的草帽,2小时前·安徽
发动机和底盘，剩下的才是坑,0,喜来乐土耳其大片子,2天前·黑龙江
冰淇淋事件百分之98的车评人都是等了这阵风过去了才会出来说两句,0,小白逛重庆,2天前·重庆
讲的好，值得信赖的,1,翟德信,2天前·贵州
2天前·贵州,0,勇哥＆,2天前·贵州
感觉现在随便个电车都吊打比亚迪啊,0,皮皮康鸭,2天前·湖北
2天前·湖北,1,润生,2天前·湖北
猴哥 沃尔沃EX90.什么价知道不？,1,健康就是福,2天前·浙江
1月11日,1,带我走,2天前·河南
10万以内的6座车，买什么,0,用户5778382817356,2天前·河南
新能源车最好还是买品牌的，像奔驰，宝马，奥迪，保时捷，大众等新能源杂牌最好不要碰了,1,朕在努力,2天前·河南
猴哥，我是一个打工仔，现在要干装修了，没有车干不了，能帮忙找个三万内的车吗。,4,傻乎乎.,2天前·河南
多少钱,1,用户9604896900177,2天前·河南
2天前·河北,0,文文,2天前·河北
猴哥，虎哥，八戒，三大说车博主一起发布了沃尔沃ex90，沃尔沃这是下血本了,1,李主任,2天前·江苏
高端大气上档次！,1,万,2天前·江苏
修理费越来越高,1,苏北鲜食玉米花菜甘蓝,2天前·江苏
车评人都在排队拍摄吗,1,太湖之滨～冰雨,2天前·江苏
9块9包邮不,0,橙子?,2天前·新疆
已经买了xc40纯电，接受它油改电，其他我都挺喜欢的,1,名字是什么不重要了,2天前·广东
一个冰淇淋干倒了BMW,0,阿军（手机摄影）,2天前·广东
沃尔沃汽车,0,明天的视界,2天前·广东
这个车要是能做到50W就很有机会，现在都卷成什么样了,1,Luuuuke,2天前·广东
这个灯装燃油车上就巴适了,1,月@月,2天前·广东
就好奇修个灯是不是跟奥迪一样小几万没了,1,麦田捕手,2天前·广东
这车多钱了,1,到,2天前·山西
价格呢,1,山东枣庄矿山机械设备有限公司,2天前·山东
你好,0,吖,2天前·天津
还不错，就是太贵了,1,青莲幽梦,2天前·天津
2天前·四川,1,双木冖车,2天前·四川
2天前·四川,0,晨曦之光,2天前·四川
这个是在中国生产的吗,1,LowKeyMan,2天前·北京
我从一个冰激淋进来的,1,暖宝儿2015,2天前·北京
猴哥您好,0,杰哥,2天前·内蒙古
Mini会眨眼,1,茶已,2天前·内蒙古
冰淇凌,1,起个网名都难,2天前·上海
猴哥本人好Nice,1,Kimi,2天前·上海
今天终于见到真人了,0,张堰小胖胖（小皇冠预订中）,2天前·上海
车身外观非常的好看，要畅通,0,顺顺利利的,23小时前·广西
这！白己看不到啊！,1,Kjun,21小时前·广东
21小时前·云南,1,小蜜蜂,21小时前·云南
车身外观非常的好看，要畅通,2,蓝梦雪,20小时前·天津
20小时前·北京,1,德华,20小时前·北京
这个电脑别如果中了病毒或者被怎么解决,0,火狐M,1小时前·河北
什么价格,0,?,1小时前·山东
你要是第二排这样坐几个小时算你厉害,0,影子的天空,1小时前·内蒙古
居然没拉黑你 再见,1,陳rons,1天前·辽宁
富婆包养,1,110a,1天前·辽宁
有意思,1,用户2898814869763,1天前·辽宁
这7坐车太矮太小了，跟你对比很明显车小了一号,2,小熊007,1天前·辽宁
@,1,Mr.冯,1天前·辽宁
有油不买电,1,无聊的猫(^???^),1天前·辽宁
叫小杨哥把价格打下来,1,鲍你满亿,1天前·福建
我看着怎么像呲牙呐,1,有一个姑娘,1天前·福建
按这个节奏下去，变形金刚也快运用到市场了,0,小英子,1天前·福建
灯坏了贼贵,0,白面书生,1天前·湖南
值得推荐,1,听风说梦,1天前·湖北
维修这个灯多少钱？,1,仙桃L+童装店,1天前·湖北
感觉空间有点儿挤,0,友吖吖,1天前·湖北
这车伤不起，太高级了,0,面币思过.,1天前·湖北
：沃尔沃一切从最大的安全角度考虑。,0,老韩,1天前·湖北
还没上市！,1,得胜的羔羊,1天前·湖北
多少钱啊？,0,得胜的羔羊,1天前·湖北
眨眼灯没有任何意义。,0,狂人墨客,1天前·海南
有没有懂车的哥 30w选啥车,0,七友,1天前·浙江
不错,0,草千里,1天前·浙江
我只能看看听听。,1,用户2449553304727,1天前·浙江
裤,1,人生苦短，必须性感,1天前·浙江
1天前·浙江,0,缘缘,1天前·浙江
30万能买到不？,1,何老师,1天前·河南
电车还是国产的好,0,微尘,1天前·河南
是多少钱啊？,0,@一切随缘@,1天前·河南
@,1,东北人,1天前·河南
什么价位，说出来让我死心,0,果汁h,1天前·河南
我是一个沃尔沃车队，感觉这次是沃尔沃有史以来最大改变,1,无言丶,1天前·河南
谁是你兄弟，我是你哥哥,1,…………？,1天前·河南
用到关键地方不好吗！！,1,沃赟酉握酷玩,1天前·河南
只要有油车，我不会买电车，不要问为什么,1,╭? 曾经沧海???,1天前·河北
再胖就要,1,H金尊猴,1天前·江苏
上牌能过吗？,0,厚爱,1天前·江苏
这个内饰，容易脏不？有狗狗要做副驾驶,1,桃花不换酒,1天前·江苏
买车不要听别人的，自己喜欢就行，我就买的纳智捷Q，别人都说不行，我开了三个月，这车确实不行。,1,北城一男,1天前·江苏
都是@终极小腾 介绍过的,0,汽车！纺织面料之家~哦哦哦,1天前·江苏
这款车安全系统好。,1,未来还有梦,1天前·江苏
1天前·江苏,0,爱中医,1天前·江苏
花里胡哨一大堆 有啥用？,1,峰少0919,1天前·江苏
我关注的是，续航多少公里多少钱这个车,1,等玫瑰的爱,1天前·广西
电车还是BYD,1,砂糖橘001,1天前·广西
你坐进去，我感觉车都变小了,0,泉必清收藏,1天前·广东
爱了,1,公子文案,1天前·广东
牌照能眨眼就好了,0,@阿俊,1天前·广东
人人都说电动车不好，每个汽车商都在推出电动车是为什么呢,0,荼荼太美,1天前·广东
没感觉出来炫酷 就感觉儿戏了,1,我是谁？我在哪？,1天前·山西
车标好肉醉,1,源森森,1天前·山西
还是老徐是个爷们,0,钢铁是怎样炼成的,1天前·山东
比亚迪，你选择了就不会后悔,1,@正在输入…………,1天前·山东
后屁股跟我胜达一样,0,启晨,1天前·山东
1天前·山东,0,木美颜,1天前·山东
车很漂亮美,1,′,1天前·安徽
不要说缘，说钱,0,快乐人生,1天前·宁夏
1天前·四川,0,伊芙,1天前·四川
不要乱说，首款纯电车型？我可是沃尔沃供应商,0,瞌睡的毛毛,1天前·四川
时尚科技,1,希望,1天前·四川
保养时候是不是得买点牙膏 一管肯定不够用,1,Oo???,1天前·北京
下来多少钱？,0,石同学,1天前·北京
卖车的真多,1,～好运来～,1天前·北京
1天前·北京,0,淡云阁雨,1天前·北京
八哥这款车多少钱,1,人民币影视,1天前·云南
这是眨眼吗？感觉像咬牙,0,坚守道心看破一切,1天前·上海
这车老牛逼,1,用户3555568868042,1天前·上海
我看是龇牙那？？,0,笨你,1天前·上海
大家早上好,2,LlLy,19小时前·黑龙江
谢谢你给大家的分享,1,英,19小时前·广东
好车会眨眼睛,1,螃蟹吃龙虾,18小时前·湖北
奈斯,2,秋叶,18小时前·新疆
介绍一下宝马吧,1,哥是传说1,18小时前·山东
可以可以,2,星星辉_,17小时前·福建
@,1,M&v甜品店,17小时前·广东
豪车,1,蔷薇,17小时前·山东
猴哥，想买一辆二手车，,4,阿离,16小时前·福建
猴哥 10以内那辆车最值得入手？,2,用户953642873383,16小时前·广西
@海豹海豹的小柚恩 @儒雅随和的许酱 我最爱的窝窝,1,孤独时代的蓁蓁,16小时前·广东
16小时前·广东,0,老爷权,16小时前·广东
这车可以有,0,一年四季都是春,15小时前·辽宁
真的不错,1,多善多福,15小时前·河北
值得拥有,1,淼淼,15小时前·河北
国货最好,2,祈祷平安,15小时前·山西
安全满分只有沃尔沃了。,1,莫愁前路无知己,15小时前·山东
沃尔沃终于舍得换内饰了,1,淮南,14小时前·江苏
功能多了，以后事就多了，简单一点最好了,1,战四儿,14小时前·北京
无聊,1,37°2,13小时前·陕西
13小时前·贵州,0,农村妹妹,13小时前·贵州
抱看,1,Siya～,13小时前·湖北
刚买了三十万辆，猜猜做啥用,0,紫光阁主人,13小时前·浙江
豪车都是人家的，我看看就好,1,快乐无限～,13小时前·广东
好车不用说，客户口口相传才是最好，一些花里胡哨的功能有啥用，自己也体验不到，给别人看的而已,1,亦木,13小时前·山东
13小时前·安徽,1,春花秋月,13小时前·安徽
我记得原来就替网友指导哪个车不能买，现在一直宣导都可以买,1,葛七,12小时前·黑龙江
12小时前·辽宁,1,刘书超,12小时前·辽宁
12小时前·湖北,1,神牛25,12小时前·湖北
猴哥，帮我参考一辆车，、，,1,虎，加油,12小时前·江苏
漂亮大气上档次品牌就是品牌,1,小哥,12小时前·广西
有什么用,1,无所谓DK,12小时前·广东
还得是终极小腾能看呀。,1,帕壮他哥,12小时前·广东
说吧，多少米？让我死心,1,B.blue,12小时前·广东
我直接拉黑他们了，安静多了,1,Vvvvv,12小时前·广东
看着不错,1,延喜,12小时前·山东
等你换电瓶的时候就知道了,0,小张冷链、专业制冷、用心服务！,12小时前·安徽
最近咋看不到阿张了,1,铭铭爹地,11小时前·河北
请问怎么评论这次宝马事件,2,小马儿,11小时前·山西
这车在你面前咋跟个玩具一样。,0,子玉,10小时前·山东
燃油款就好了,1,夜风铃,10小时前·四川
